model_year,model,powertrain_family,trim_name,segment,delivery_focus_notes
2025,Venue,Gas,SE,Subcompact SUV,"Entry trim – focus on basic controls, SmartSense safety, phone pairing, simple audio and climate, no advanced luxury features."
2025,Venue,Gas,SEL,Subcompact SUV,"Adds more convenience (keyless, nicer interior touches) – highlight drive modes if equipped, upgraded infotainment, and extra USB/power options."
2025,Venue,Gas,Limited,Subcompact SUV,"Top Venue – emphasize LED lighting, sunroof (if equipped), navigation/upgraded screen, and any extra driver-assist features vs SE/SEL."

2026,Venue,Gas,SE,Subcompact SUV,"Entry trim – same core Venue delivery: controls, SmartSense basics, phone pairing, simple climate. Call out that AWD is not available."
2026,Venue,Gas,SEL,Subcompact SUV,"Single higher trim for 2026 – cover style upgrades, H-Tex/cloth seating if present, two-tone roof and cosmetic changes, plus same tech as SE."

2025,Kona,Gas,SE,Subcompact SUV,"Base Kona – explain digital cluster, basic safety, drive modes, phone pairing, and simple climate/audio; no sunroof or advanced camera systems."
2025,Kona,Gas,SEL,Subcompact SUV,"Adds comfort features (heated seats, more USBs, possible roof rails) – show convenience features and any extra SmartSense items."
2025,Kona,Gas,SEL Convenience,Subcompact SUV,"Step up trim – highlight larger screen, more driver-assist features (HDA, etc. where equipped), push-button start and keyless access."
2025,Kona,Gas,N Line S,Subcompact SUV,"Sport appearance – emphasize sport styling, wheel/tire differences, paddle shifters if equipped; same core tech as mid trims."
2025,Kona,Gas,N Line,Subcompact SUV,"Sport-focused – tour N Line styling, possible sport seats and tuning; still cover daily-use features first (safety, phone, cruise)."
2025,Kona,Gas,Limited,Subcompact SUV,"Top gas Kona – emphasize full digital cockpit, Surround View (if equipped), power/ventilated seats, premium audio, and sunroof."

2025,Kona Electric,EV,SE,Subcompact SUV,"Entry EV – focus on charging basics, range display, regen modes, scheduled charging, climate vs range, and smartphone app connectivity."
2025,Kona Electric,EV,SEL,Subcompact SUV,"Adds heated seats, power driver seat, roof rails, more comfort – cover same EV fundamentals plus extra comfort switches and memory where present."
2025,Kona Electric,EV,N Line,Subcompact SUV,"Performance-styled EV – explain same EV controls with extra attention to drive modes, sport feel, N Line interior/exterior and premium audio."
2025,Kona Electric,EV,Limited,Subcompact SUV,"Top EV – highlight advanced driver assistance, surround/parking cameras if equipped, Bose audio, ambient lighting, power seat/memory."

